feature,xgb,lgbm,cat,weighted
feature_99,0.026984854,155,6.771879752124627,42.215847961809565
feature_101,0.0115659,103,2.863152395079413,27.644824467963794
feature_96,0.0040537887,99,1.9577912033131402,26.372089681082013
feature_100,0.011378548,74,1.4975690382137794,19.723181175787847
feature_103,0.030509407,69,4.6501013177991295,19.204043283891377
feature_104,0.011680201,62,4.4714072349021174,17.324412168243303
feature_105,0.1269945,53,11.390776410145433,16.720701843685497
feature_183,0.0024515358,58,0.195002872076982,15.213865787410837
feature_145,0.0076090484,53,1.0088273933301997,14.110081601660925
feature_27,0.0052358904,47,0.418017126592428,12.3939249014347
feature_31,0.004728672,47,0.2000056386427758,12.339636625808746
feature_290,0.0035544673,44,0.6737149859966108,11.672606753185233
feature_109,0.0042544017,43,1.2027175084253734,11.542733711802097
feature_33,0.007816447,39,2.7852487583540158,10.890930322822943
feature_30,0.0027382416,41,0.19881162531595797,10.770040304304413
feature_276,0.0074799214,39,0.3736727389847948,10.29181419844452
feature_37,0.0046217744,37,1.9811664476995676,10.167425498032696
feature_182,0.008549243,38,0.8850708230809496,10.157666617610863
feature_277,0.0036546355,38,0.5522984163193205,10.073704150983835
feature_317,0.0027984937,37,0.2802303482023781,9.744433890910441
feature_4,0.0035183986,36,0.11482920069128609,9.44207887111525
feature_275,0.004700252,34,0.8843289925274677,9.110611114376272
feature_8,0.002266222,34,0.8734802402676354,9.107268340473167
feature_239,0.00438471,34,0.33424308772987715,8.973887813506968
feature_301,0.0023803848,34,0.21306935656086368,8.943255119717529
feature_14,0.020339059,32,0.7980839947370205,8.570428237157792
feature_165,0.009522916,31,0.5362038588964654,8.241037084065809
feature_107,0.009089698,26,5.12391947620701,8.073185087357228
feature_303,0.002184807,30,0.31677940875842503,7.923117683124338
feature_313,0.0020868974,30,0.20661528064305323,7.895727257071801
feature_233,0.013046251,28,0.4901224047405799,7.446143677465461
feature_39,0.0080775935,25,3.5874270675889153,7.429794992444322
feature_28,0.0021992475,28,0.41461024686884834,7.424499063494856
feature_173,0.0013962402,28,0.013946247416109829,7.324761837223227
feature_55,0.007341793,24,4.165241852996749,7.3116645166851955
feature_110,0.008210403,27,0.7502513019134289,7.248009696942847
feature_175,0.004867776,26,0.6792542004853256,6.968022770403851
feature_88,0.003244917,26,0.4288761899054658,6.905397766294933
feature_278,0.0031354616,26,0.3933142640934202,6.89653517688718
feature_210,0.0039512003,26,0.26587200358728325,6.865096156999723
feature_222,0.0074695055,25,0.0,6.538529535581824
feature_333,0.0018914958,24,0.14357794133838747,6.311247152974397
feature_331,0.00074242527,24,0.09613392980435445,6.299156332575796
feature_1,0.0058478327,21,2.915098446101972,6.2163508914246535
feature_20,0.008798251,23,0.7716570819330303,6.207636747176528
feature_300,0.003217795,23,0.18683184657065874,6.0608827074297045
feature_280,0.0023923188,23,0.03692948819619019,6.023427760732707
feature_73,0.0004302255,22,0.6604905002901759,5.916334016128397
feature_295,0.0016233381,22,0.12454133124965305,5.7835238599397
feature_319,0.002074085,22,0.09108999467996508,5.775334669215675
feature_140,0.0035482862,21,0.27871780695258525,5.560871540822593
feature_322,0.0040628365,21,0.19177075591288523,5.539411198842088
feature_297,0.0023474693,21,0.18120443288513585,5.5363299007923725
feature_257,0.0026349172,21,0.1624620701722254,5.531750891361442
feature_43,0.011637329,20,1.098395051493931,5.505168140049146
feature_286,0.0024787537,21,0.0,5.491354342343603
feature_168,0.004386539,20,0.27639017153735634,5.2990548827607515
feature_281,0.0007538238,20,0.0,5.2294334933285604
feature_44,0.00625125,17,2.5746456963597706,5.086044526557731
feature_327,0.0022978866,19,0.3018904808027836,5.043371386282543
feature_268,0.0039021582,19,0.19253376073074382,5.0166346697366615
feature_279,0.002015678,19,0.1279545535814508,5.00009121813666
feature_3,0.0,17,1.6891873272368785,4.86443575409241
feature_335,0.002015816,18,0.3222957050615637,4.786903235281641
feature_161,0.008061011,18,0.29893204135436047,4.782709131360507
feature_308,0.0018535559,18,0.2496737385373751,4.76882101159758
feature_296,0.0018602218,18,0.21778461762848822,4.76090164686474
feature_213,0.003752275,17,0.3886455160102616,4.5423849192367625
feature_241,0.0013771462,17,0.22207032007119482,4.500375955163692
feature_178,0.0027565977,17,0.2184888661327463,4.49985357091946
feature_149,0.0033875671,17,0.10693216126652678,4.472311275202187
feature_338,0.0015962725,17,0.03403892684237894,4.453727990257461
feature_251,0.0019454459,17,0.0,4.4453658036009225
feature_64,0.003484885,16,0.4885552974571374,4.305669313478229
feature_98,0.0003011876,16,0.11416590569833139,4.211824818242243
feature_85,0.003242351,16,0.0,4.184249423342422
feature_180,0.0016563513,16,0.0,4.18382720065712
feature_166,0.0033398364,15,0.31600434063894434,4.00130804080957
feature_152,0.002715559,15,0.2960064251756945,3.9961744385879774
feature_21,0.0057321084,15,0.17360871177414558,3.966574362319734
feature_273,0.0016247868,15,0.11090967439220559,3.949906708615458
feature_167,0.011719948,15,0.08075557328555165,3.9451040613194057
feature_302,0.0010186259,15,0.06322530203885782,3.9379007161736954
feature_144,0.0017422526,15,0.016284712385419838,3.9264334907572387
feature_127,0.0058398005,15,0.0,3.9234792720881293
feature_66,0.0021159628,14,0.10418938968401543,3.6869065344510203
feature_298,0.002227296,14,0.06009906135316635,3.6759842994234364
feature_125,0.004022258,14,0.0,3.661533767879531
feature_288,0.0010997731,14,0.0,3.660755748043824
feature_220,0.00074587384,14,0.0,3.6606615334876675
feature_141,0.002896529,13,0.09163099323903352,3.4225332360340057
feature_89,0.002256292,13,0.04262676882481829,3.410190325486344
feature_63,0.0019775708,13,0.02020025977959752,3.4045454631130236
feature_169,0.002538383,13,0.0,3.3996770921703616
feature_205,0.0023317602,13,0.0,3.399622085348722
feature_287,0.0020936679,12,0.16084875096477264,3.1780512930992906
feature_294,0.0021609634,12,0.1066296969829024,3.16460139659745
feature_283,0.0014610557,12,0.07508999707324496,3.156580723711303
feature_69,0.004248601,7,5.231813365356614,3.130925567982505
feature_214,0.0035847668,11,0.5114695604887167,3.0040795189037133
feature_235,0.0031374535,11,0.28195789920169523,2.9469505907432816
feature_284,0.015235494,11,0.10158601206666731,2.90536760648879
feature_293,0.0027863837,11,0.06074987447951222,2.8919098768850446
feature_196,0.0013117917,11,0.0552762839256493,2.8901576934563193
feature_310,0.0029230486,11,0.049977477290475567,2.8892704360925148
feature_291,0.00080579414,11,0.028604659566204522,2.883397854971211
feature_299,0.0025898796,11,0.02276924338453108,2.8824233159599446
feature_332,0.0027279723,11,0.0,2.8768042832407543
feature_334,0.00040527442,11,0.0,2.876185937867386
feature_250,0.0033824788,10,0.1702957698311877,2.657817721855803
feature_321,0.001911767,10,0.13899269455237687,2.6496506232434616
feature_304,0.00097370706,10,0.13763248192365918,2.649063022476526
feature_312,0.0034064457,10,0.06019028578224831,2.630474308595079
feature_292,0.0016623375,10,0.05008749260371718,2.6275004981847556
feature_90,0.0061633512,10,0.043270969791839094,2.6270055528052008
feature_315,0.0016395815,10,0.03519013663994035,2.6237939921900852
feature_185,0.0026837573,10,0.022095643117904705,2.6208193476235695
feature_34,0.0,10,0.014744576149006206,2.6182789037141037
feature_129,0.00199972,10,0.0,2.615148768376466
feature_305,0.0018609778,10,0.0,2.6151118326470257
feature_114,0.0006752587,10,0.0,2.614796172138094
feature_131,0.0027857053,9,0.2956620222932154,2.427337721004958
feature_267,0.0026030526,9,0.06450475376389761,2.3698704876911014
feature_108,0.013243371,9,0.036060299657167394,2.3656376415062343
feature_112,0.0024784384,9,0.044272010153188206,2.3648115746099774
feature_316,0.0013442124,9,0.041770800950400866,2.3638883314583277
feature_285,0.0015278681,9,0.0201895577374305,2.3585765232644325
feature_255,0.00028976958,9,0.019106566183303236,2.357977907335487
feature_91,0.0039048248,9,0.0,2.3541943021564373
feature_150,0.0020364367,9,0.0,2.3536969024435246
feature_67,0.0018924583,9,0.0,2.3536585727570207
feature_314,0.0017640269,9,0.0,2.353624381926246
feature_128,0.0010297616,9,0.0,2.353428906834787
feature_282,0.0009178342,9,0.0,2.353399109663777
feature_326,0.00055099407,9,0.0,2.35330145001445
feature_136,0.0010256594,8,0.08707472433431075,2.1135952126073896
feature_252,0.0015623481,8,0.04211857684656472,2.1025711489048327
feature_126,0.0014354299,8,0.03828183095637427,2.1015843274863277
feature_230,0.0020932304,8,0.03265900881572143,2.1003627580382473
feature_68,0.000662603,8,0.016253882312528386,2.095906925877348
feature_207,0.004195781,8,0.004779972714064674,2.0939974470539138
feature_164,0.0028013699,8,0.0,2.092438901316207
feature_325,0.0022661118,8,0.0,2.092296405702662
feature_318,0.00090983266,8,0.0,2.0919353389399546
feature_336,0.00072005665,8,0.0,2.091884817047692
feature_15,0.012004673,7,0.7780295417950834,2.02668700248919
feature_86,0.007222271,7,0.3949388903977528,1.9302555418397915
feature_35,0.0057841046,7,0.3317135804200838,1.9141677428436266
feature_50,0.0057704058,7,0.09244497260196269,1.854730661520387
feature_160,0.0018656374,7,0.09148998493121557,1.8534539241831245
feature_53,0.0007321464,7,0.07766185323048974,1.8497173111618157
feature_309,0.0013281496,7,0.050312252524549954,1.8430824389690144
feature_65,0.0020201297,7,0.01130803776988656,1.8335781547401178
feature_75,0.01101526,5,2.102658655329729,1.8325332779956973
feature_311,0.0011911938,7,0.0,1.830548601951711
feature_77,0.0010323334,7,0.0,1.8305063103316632
feature_0,0.00096966716,7,0.0,1.8304896274339688
feature_329,0.0005467738,7,0.0,1.8303770453485475
feature_236,0.0019933055,6,0.11878862261266378,1.5988071515491407
feature_231,0.0011299584,6,0.09404225066657979,1.5924304054886458
feature_337,0.0016666244,6,0.04141248412606017,1.5795002372617026
feature_306,0.0003702988,6,0.040259379097005846,1.5788687042399776
feature_22,0.001651815,6,0.033306079194457036,1.5774826938049593
feature_243,0.0029987611,6,0.028290851636337988,1.5765955119843695
feature_270,0.0024552497,6,0.027356648656786012,1.5762187665942615
feature_234,0.0025964861,6,0.008671057937632393,1.571614934954585
feature_41,0.003276566,6,0.0,1.5696421262600833
feature_137,0.0029693889,6,0.0,1.56956034996802
feature_47,0.0028455646,6,0.0,1.5695273856890761
feature_219,0.0016785472,6,0.0,1.569216703928765
feature_32,0.0015317601,6,0.0,1.5691776264484414
feature_197,0.0014796202,6,0.0,1.5691637458421663
feature_324,0.0013245036,6,0.0,1.5691224509118964
feature_82,0.0012978469,6,0.0,1.5691153544085008
feature_218,0.0012911353,6,0.0,1.5691135676661414
feature_330,0.0012307218,6,0.0,1.5690974844819774
feature_328,0.0007406185,6,0.0,1.5689670098418045
feature_74,0.004815932,4,1.6240298008341099,1.4505316295495363
feature_132,0.0014853411,5,0.0694104300528193,1.3249449215829565
feature_156,0.0015842293,5,0.05096509142144739,1.3203894937778378
feature_269,0.004366507,5,0.03349238295116852,1.3167900317953884
feature_259,0.0009881834,5,0.025665952130011,1.3139466029423825
feature_193,0.0013811928,5,0.02047203777468152,1.3127610802962848
feature_289,0.0019898268,5,0.009385498652827826,1.3101692547827968
feature_245,0.005308929,5,0.0,1.3087215385285207
feature_237,0.0052371626,5,0.0,1.3087024329115637
feature_172,0.00322486,5,0.0,1.3081667205669918
feature_202,0.002930814,5,0.0,1.30808844005242
feature_148,0.0021675564,5,0.0,1.3078852467124351
feature_320,0.0017612604,5,0.0,1.30777708314145
feature_177,0.0011760883,5,0.0,1.307621299446514
feature_261,0.00047280095,5,0.0,1.3074340712601087
feature_154,0.00036524862,5,0.0,1.3074054388316698
feature_187,0.00034606727,5,0.0,1.3074003323972692
feature_59,0.0003363146,5,0.0,1.307397736059106
feature_176,0.0017834868,4,0.2620027998837903,1.111401882976083
feature_266,0.0036695392,4,0.252133707317802,1.1094525392825039
feature_45,0.0018340539,4,0.2007753980996577,1.0962066854745716
feature_51,0.0016632576,4,0.0933487514531519,1.0694768358758293
feature_209,0.0034291558,4,0.08696424983839562,1.0683610643525692
feature_184,0.001840335,4,0.03918438852837998,1.0560697503797714
feature_29,0.0014619379,4,0.022606042352716006,1.0518510144008146
feature_211,0.0022661723,4,0.017934236789495947,1.0509046573585836
feature_194,0.0030361398,4,0.0,1.0466548391596042
feature_223,0.0023888454,4,0.0,1.0464825173585304
feature_181,0.0023030003,4,0.0,1.0464596638084949
feature_228,0.002172055,4,0.0,1.046424803706035
feature_18,0.002120433,4,0.0,1.0464110609937087
feature_135,0.0020908455,4,0.0,1.0464031842748263
feature_271,0.0018628457,4,0.0,1.046342486490179
feature_130,0.0018346694,4,0.0,1.0463349853853323
feature_260,0.002795363,3,0.1735377707068259,0.8282352377162823
feature_9,0.020298997,2,1.1152655337557875,0.8053550719234572
feature_242,0.0034833306,3,0.056818432643188116,0.7994257369327065
feature_206,0.0047546,3,0.04397545426322358,0.7965740243372359
feature_155,0.0016705033,3,0.04264074434855011,0.7954214434349909
feature_198,0.0,3,0.031524988404643406,0.7922156118592971
feature_170,0.0020296504,3,0.028718673857555766,0.7920588644535885
feature_163,0.0017879506,3,0.018569397611716908,0.7894734769034478
feature_2,0.0017480932,3,0.007989679857341609,0.7868349034781771
feature_254,0.0017253218,3,0.0,0.7848442344648019
feature_263,0.0015319361,3,0.0,0.7847927515931614
feature_253,0.0011118315,3,0.0,0.7846809119464551
feature_249,0.00088540214,3,0.0,0.7846206322383322
feature_246,0.0008624247,3,0.0,0.7846145152243507
feature_264,0.0007656556,3,0.0,0.7845887534740568
feature_17,0.0,3,0.0,0.784384921712447
feature_262,0.0,3,0.0,0.784384921712447
feature_138,0.0,3,0.0,0.784384921712447
feature_190,0.0,3,0.0,0.784384921712447
feature_146,0.0,3,0.0,0.784384921712447
feature_215,0.0020622686,2,0.1805241469916659,0.5683138236732671
feature_84,0.0025311683,2,0.1475189139926175,0.5602402760828745
feature_226,0.00039780152,2,0.07272196445105888,0.5410930494448025
feature_171,0.0014458828,2,0.06330841579087036,0.5390337776364098
feature_201,0.002088924,2,0.0601451969034315,0.5384192352892789
feature_238,0.0013919668,2,0.025272114811867537,0.5295713481499804
feature_323,0.0011413798,2,0.005674204902952424,0.5246365891192157
feature_79,0.0011126801,2,0.0052130880173688506,0.524514409000023
feature_143,0.0028956435,2,0.0,0.5236941552884691
feature_229,0.0024047361,2,0.0,0.5235634666332789
feature_179,0.0015529784,2,0.0,0.5233367128985282
feature_157,0.0011877312,2,0.0,0.5232394772629068
feature_70,0.0011629951,2,0.0,0.5232328920847085
feature_147,0.0010812804,2,0.0,0.5232111381064914
feature_52,0.0010012594,2,0.0,0.5231898350339197
feature_102,0.000991049,2,0.0,0.5231871168234665
feature_111,0.000982977,2,0.0,0.5231849679130409
feature_151,0.0009736712,2,0.0,0.5231824905367848
feature_307,0.0008691374,2,0.0,0.5231546616869327
feature_142,0.00056893524,2,0.0,0.5230747422920121
feature_72,0.0004457076,2,0.0,0.5230419367962913
feature_54,0.00031101253,2,0.0,0.5230060784615507
feature_153,0.0,2,0.0,0.5229232811416313
feature_6,0.0,2,0.0,0.5229232811416313
feature_106,0.0,2,0.0,0.5229232811416313
feature_40,0.0,1,0.2447636254899559,0.32226001695179474
feature_265,0.0023720264,1,0.0818642701346079,0.2824278990838193
feature_244,0.00013432112,1,0.0686068781463753,0.2785390933193237
feature_48,0.002876623,1,0.06460153494010101,0.27827423269318313
feature_158,0.0,1,0.0583045226618964,0.2759442676622205
feature_188,0.003721949,1,0.043944349587433484,0.27336810596876293
feature_203,0.0,1,0.025647120830500726,0.26783229022196336
feature_217,0.001228595,1,0.020531426316305414,0.2668886455283852
feature_240,0.0028718666,1,0.012179062092012189,0.26525141870083985
feature_115,0.0034599744,1,0.0,0.2623827501456626
feature_113,0.003418704,1,0.0,0.26237176315862687
feature_25,0.0033105032,1,0.0,0.2623429581080936
feature_274,0.0032622898,1,0.0,0.26233012279499324
feature_139,0.002269503,1,0.0,0.2620658244495653
feature_258,0.002189535,1,0.0,0.2620445355214551
feature_248,0.0019139901,1,0.0,0.2619711803645268
feature_216,0.0017591123,1,0.0,0.2619299489970226
feature_225,0.001694565,1,0.0,0.2619127653097175
feature_195,0.0012980299,1,0.0,0.26180720027423465
feature_12,0.0012605361,1,0.0,0.2617972187372297
feature_36,0.0008894364,1,0.0,0.2616984250862524
feature_192,0.0008168575,1,0.0,0.26167910322783516
feature_208,0.000506371,1,0.0,0.26159644596282394
feature_232,0.00027057712,1,0.0,0.2615336732351361
feature_134,8.701793e-05,1,0.0,0.26148480636129623
feature_212,5.288585e-05,1,0.0,0.26147571976798734
feature_224,0.0,1,0.0,0.26146164057081567
feature_204,0.0,1,0.0,0.26146164057081567
feature_76,0.0,0,0.518597283355358,0.12881764094022288
feature_61,0.0010149786,0,0.24691016159153678,0.06160177417411088
feature_46,0.0,0,0.08216789160240322,0.02041019939165513
feature_78,0.0,0,0.04857872679758507,0.012066775486088442
feature_133,0.0,0,0.03316314954300998,0.008237603295254976
feature_42,0.0,0,0.023017996222431635,0.005717584853819635
feature_56,0.0,0,0.018140977912604807,0.004506151601741312
feature_7,0.0,0,0.009941824889249766,0.0024695124135395564
feature_60,0.0039977063,0,0.0,0.0010642637498676777
feature_159,0.0035820995,0,0.0,0.0009536215220578015
feature_83,0.0022759882,0,0.0,0.0006059104343876243
feature_118,0.0016869904,0,0.0,0.00044910822180099785
feature_256,0.00085806684,0,0.0,0.00022843336046207696
feature_221,0.00083791895,0,0.0,0.0002230696118203923
feature_189,0.0006924675,0,0.0,0.0001843477220973
feature_174,0.0006077271,0,0.0,0.00016178825171664357
feature_186,0.00052228477,0,0.0,0.0001390419201925397
feature_19,0.00047881954,0,0.0,0.00012747067376039922
feature_272,0.00044073688,0,0.0,0.00011733235442079604
feature_199,0.0003226404,0,0.0,8.589287608629093e-05
feature_247,0.00025650256,0,0.0,6.8285757151898e-05
feature_227,0.00025261389,0,0.0,6.725051207467914e-05
feature_122,0.00022994415,0,0.0,6.121541082393378e-05
feature_10,2.0242437e-06,0,0.0,5.388913564274844e-07
feature_162,0.0,0,0.0,0.0
feature_11,0.0,0,0.0,0.0
feature_191,0.0,0,0.0,0.0
feature_16,0.0,0,0.0,0.0
feature_13,0.0,0,0.0,0.0
feature_200,0.0,0,0.0,0.0
feature_5,0.0,0,0.0,0.0
feature_116,0.0,0,0.0,0.0
feature_117,0.0,0,0.0,0.0
feature_87,0.0,0,0.0,0.0
feature_119,0.0,0,0.0,0.0
feature_121,0.0,0,0.0,0.0
feature_120,0.0,0,0.0,0.0
feature_123,0.0,0,0.0,0.0
feature_124,0.0,0,0.0,0.0
feature_93,0.0,0,0.0,0.0
feature_92,0.0,0,0.0,0.0
feature_80,0.0,0,0.0,0.0
feature_81,0.0,0,0.0,0.0
feature_97,0.0,0,0.0,0.0
feature_95,0.0,0,0.0,0.0
feature_94,0.0,0,0.0,0.0
feature_71,0.0,0,0.0,0.0
feature_58,0.0,0,0.0,0.0
feature_57,0.0,0,0.0,0.0
feature_38,0.0,0,0.0,0.0
feature_62,0.0,0,0.0,0.0
feature_23,0.0,0,0.0,0.0
feature_49,0.0,0,0.0,0.0
feature_24,0.0,0,0.0,0.0
feature_26,0.0,0,0.0,0.0
